2023-12-15 20:10:29, 6, 5242976, 12.1
2023-12-15 20:10:31, 6, 5242976, 20.3
2023-12-15 20:10:32, 6, 5242976, 13.6
2023-12-15 20:10:33, 7, 11535021, 9.6
2023-12-15 20:10:35, 7, 11535021, 13.4
2023-12-15 20:10:37, 7, 11535021, 18.4
2023-12-15 20:10:38, 7, 11535021, 21.7
2023-12-15 20:10:39, 7, 11535021, 27.9
2023-12-15 20:16:21, 6, 5242976, 17.2
2023-12-15 20:16:23, 6, 5242976, 18.3
2023-12-15 20:16:24, 6, 5242976, 10.5
2023-12-15 20:16:25, 7, 11535020, 12.1
2023-12-15 20:16:27, 7, 11535020, 11.1
2023-12-15 20:16:29, 7, 11535020, 13.4
2023-12-15 20:16:30, 7, 11535020, 16.4
2023-12-15 20:16:32, 7, 11535020, 6.4
2023-12-26 18:40:54, 6, 5242976, 17.9
2023-12-26 18:40:56, 6, 5242976, 29.6
2023-12-26 18:40:57, 6, 5242976, 35.8
2023-12-26 18:40:58, 7, 11535017, 22.0
2023-12-26 18:41:00, 7, 11535017, 19.9
2023-12-26 18:41:02, 7, 11535017, 26.5
2023-12-26 18:41:03, 7, 11535017, 31.5
2023-12-26 18:41:05, 7, 11535017, 19.1
2023-12-26 18:41:53, 6, 5242976, 11.4
2023-12-26 18:41:55, 6, 5242976, 13.3
2023-12-26 18:41:56, 6, 5242976, 21.4
2023-12-26 18:41:58, 7, 11535015, 25.7
2023-12-26 18:42:00, 7, 11535015, 20.8
2023-12-26 18:42:02, 7, 11535015, 23.5
2023-12-26 18:42:03, 7, 11535015, 27.2
2023-12-26 18:42:04, 7, 11535015, 22.8
2023-12-26 18:43:43, 6, 5242976, 16.9
2023-12-26 18:43:44, 6, 5242976, 27.9
2023-12-26 18:43:45, 6, 5242976, 20.9
2023-12-26 18:43:47, 7, 11535016, 19.2
2023-12-26 18:43:49, 7, 11535016, 13.9
2023-12-26 18:43:51, 7, 11535016, 13.0
2023-12-26 18:43:52, 7, 11535016, 24.3
2023-12-26 18:43:53, 7, 11535016, 13.0
